	title	mean	rank	popularity	genres
0	Sousou no Frieren	9.35	1	237	['Adventure', 'Drama', 'Fantasy', 'Shounen']
1	Fullmetal Alchemist: Brotherhood	9.09	2	3	['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']
2	Steins;Gate	9.07	3	14	['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']
3	Gintama°	9.06	4	341	['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']
4	Shingeki no Kyojin Season 3 Part 2	9.05	5	21	['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']
5	Gintama'	9.03	7	394	['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']
6	Hunter x Hunter (2011)	9.03	8	9	['Action', 'Adventure', 'Fantasy', 'Shounen']
7	Gintama': Enchousen	9.02	10	743	['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']
8	Bleach: Sennen Kessen-hen	9.01	11	403	['Action', 'Adventure', 'Fantasy', 'Shounen']
9	Kaguya-sama wa Kokurasetai: Ultra Romantic	9.0	12	174	['Comedy', 'Romance', 'School', 'Seinen']
10	Gintama.	8.98	14	767	['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']
11	Fruits Basket: The Final	8.97	15	469	['Drama', 'Romance', 'Shoujo', 'Supernatural']
12	Clannad: After Story	8.93	16	118	['Drama', 'Romance', 'Supernatural']
13	Gintama	8.93	17	142	['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']
14	3-gatsu no Lion 2nd Season	8.92	19	570	['Childcare', 'Drama', 'Seinen', 'Strategy Game']
15	Code Geass: Hangyaku no Lelouch R2	8.91	20	47	['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']
16	Kusuriya no Hitorigoto	8.9	22	536	['Drama', 'Historical', 'Medical', 'Mystery']
17	Gintama.: Shirogane no Tamashii-hen - Kouhan-sen	8.88	24	1215	['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']
18	Monster	8.88	25	127	['Adult Cast', 'Drama', 'Mystery', 'Psychological', 'Seinen', 'Suspense']
19	Boku no Kokoro no Yabai Yatsu 2nd Season	8.83	29	1269	['Comedy', 'Romance', 'School', 'Shounen']
20	Jujutsu Kaisen 2nd Season	8.82	30	162	['Action', 'Fantasy', 'Gore', 'School', 'Shounen']
21	Kingdom 3rd Season	8.82	31	2036	['Action', 'Historical', 'Military', 'Seinen']
22	Vinland Saga Season 2	8.81	32	344	['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']
23	Gintama.: Shirogane no Tamashii-hen	8.81	33	1146	['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']
24	Mob Psycho 100 II	8.79	34	73	['Action', 'Comedy', 'Super Power', 'Supernatural']
25	Bocchi the Rock!	8.78	36	376	['CGDCT', 'Comedy', 'Music']
26	Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou	8.78	37	116	['School', 'Shounen', 'Sports', 'Team Sports']
27	Shingeki no Kyojin: The Final Season	8.78	38	34	['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']
28	Hajime no Ippo	8.77	41	364	['Combat Sports', 'Shounen', 'Sports']
29	Shingeki no Kyojin: The Final Season Part 2	8.76	42	102	['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']
30	Monogatari Series: Second Season	8.76	43	308	['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']
31	Cowboy Bebop	8.75	44	43	['Action', 'Adult Cast', 'Award Winning', 'Sci-Fi', 'Space']
32	Hibike! Euphonium 3	8.75	45	2717	['Drama', 'Music', 'Performing Arts', 'School']
33	Vinland Saga	8.75	47	74	['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']
34	Kimetsu no Yaiba: Yuukaku-hen	8.74	48	84	['Action', 'Fantasy', 'Historical', 'Shounen']
35	Kingdom 4th Season	8.74	49	2714	['Action', 'Historical', 'Military', 'Seinen']
36	Kingdom 5th Season	8.74	50	3716	['Action', 'Historical', 'Military', 'Seinen']
37	Mushishi Zoku Shou 2nd Season	8.72	52	916	['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']
38	One Piece	8.72	53	19	['Action', 'Adventure', 'Fantasy', 'Shounen']
39	Ashita no Joe 2	8.72	54	3063	['Combat Sports', 'Drama', 'Shounen', 'Sports']
40	Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen	8.71	55	1285	['Adult Cast', 'Drama', 'Historical', 'Josei', 'Love Polygon', 'Performing Arts']
41	Mob Psycho 100 III	8.71	56	294	['Action', 'Comedy', 'Super Power', 'Supernatural']
42	86 Part 2	8.7	58	441	['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']
43	Code Geass: Hangyaku no Lelouch	8.7	59	22	['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']
44	Bleach: Sennen Kessen-hen - Ketsubetsu-tan	8.69	60	876	['Action', 'Adventure', 'Fantasy', 'Shounen']
45	Great Teacher Onizuka	8.69	61	218	['Comedy', 'Delinquents', 'School', 'Shounen', 'Workplace']
46	Mushishi Zoku Shou	8.69	63	811	['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']
47	Violet Evergarden	8.68	65	46	['Drama', 'Fantasy']
48	Hajime no Ippo: New Challenger	8.67	67	852	['Combat Sports', 'Shounen', 'Sports']
49	Mushishi	8.66	71	216	['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']
50	Mushoku Tensei: Isekai Ittara Honki Dasu Part 2	8.66	72	176	['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']
51	Odd Taxi	8.66	73	519	['Adult Cast', 'Anthropomorphic', 'Award Winning', 'Drama', 'Mystery', 'Organized Crime', 'Suspense']
52	Made in Abyss	8.64	74	94	['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']
53	Natsume Yuujinchou Shi	8.64	75	1002	['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']
54	Shigatsu wa Kimi no Uso	8.64	76	23	['Drama', 'Love Polygon', 'Music', 'Romance', 'School', 'Shounen']
55	"""Oshi no Ko"""	8.64	77	230	['Award Winning', 'Drama', 'Reincarnation', 'Seinen', 'Showbiz', 'Supernatural']
56	Bungou Stray Dogs 5th Season	8.64	78	1282	['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural', 'Vampire']
57	Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen	8.63	79	97	['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen']
58	Made in Abyss: Retsujitsu no Ougonkyou	8.63	80	504	['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']
59	Tengen Toppa Gurren Lagann	8.63	82	64	['Action', 'Adventure', 'Award Winning', 'Mecha', 'Sci-Fi']
60	Shingeki no Kyojin Season 3	8.62	83	18	['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']
61	Death Note	8.62	84	2	['Psychological', 'Shounen', 'Supernatural', 'Suspense']
62	Haikyuu!! Second Season	8.62	85	87	['School', 'Shounen', 'Sports', 'Team Sports']
63	Ping Pong the Animation	8.62	86	589	['Award Winning', 'Drama', 'Seinen', 'Sports']
64	Natsume Yuujinchou Roku	8.61	88	1290	['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']
65	Dungeon Meshi	8.61	89	786	['Adventure', 'Comedy', 'Fantasy', 'Gourmet', 'Seinen']
66	Hajime no Ippo: Rising	8.6	91	931	['Combat Sports', 'Shounen', 'Sports']
67	Jujutsu Kaisen	8.59	94	13	['Action', 'Award Winning', 'Fantasy', 'School', 'Shounen']
68	Kenpuu Denki Berserk	8.59	95	311	['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Seinen']
69	JoJo no Kimyou na Bouken Part 5: Ougon no Kaze	8.57	100	152	['Action', 'Adventure', 'Organized Crime', 'Shounen', 'Supernatural']
70	Natsume Yuujinchou San	8.57	102	973	['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']
71	Nana	8.56	104	305	['Adult Cast', 'Drama', 'Love Polygon', 'Music', 'Romance', 'Shoujo']
72	Natsume Yuujinchou Go	8.56	105	1286	['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']
73	Shouwa Genroku Rakugo Shinjuu	8.56	107	843	['Drama', 'Historical', 'Josei', 'Love Polygon', 'Performing Arts']
74	Shingeki no Kyojin	8.55	108	1	['Action', 'Award Winning', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']
75	Yojouhan Shinwa Taikei	8.55	110	502	['Adult Cast', 'Award Winning', 'Comedy', 'Mystery', 'Psychological', 'Romance', 'Suspense', 'Time Travel']
76	Haikyuu!! To the Top Part 2	8.55	113	222	['School', 'Shounen', 'Sports', 'Team Sports']
77	Fate/Zero 2nd Season	8.54	114	133	['Action', 'Fantasy', 'Supernatural']
78	Fruits Basket 2nd Season	8.54	115	431	['Drama', 'Romance', 'School', 'Shoujo', 'Supernatural']
